Nom;Année;Bois;Carton;Papier;Déchets dangereux;DEEE;Amiante;Batteries;Cartouches d'encre;Extincteurs;Huile;Pneumatiques;Déchets verts;Ferraille;Gravats;Mobilier;Ré-emploi;Textiles;Tout-venant;Verre
Déchèterie La Montagne;2013;272.0;105.0;113.0;12.0;0.0;0.0;0.0;0.0;0.0;7.0;0.0;1721.0;0.0;2181.0;0.0;0.0;5.0;1199.0;206.0
Déchèterie Saint Jean de Boiseau;2013;173.0;71.0;92.0;16.0;0.0;0.0;1.0;0.0;0.0;5.0;0.0;1296.0;16.0;1660.0;0.0;5.0;1.0;937.0;175.0
Ecopoint Chantenay;2013;0.0;65.0;43.0;14.0;93.0;0.0;0.0;0.0;0.0;2.0;28.0;291.0;68.0;0.0;0.0;0.0;19.0;628.0;0.0
Déchèterie Mauves sur Loire;2014;92.0;40.0;29.0;6.0;3.0;0.0;0.0;0.0;0.0;2.0;0.0;731.0;15.0;498.0;0.0;0.0;2.0;379.0;49.0
Déchèterie Saint Sébastien;2014;374.0;145.0;75.0;29.0;132.0;0.0;1.0;0.0;0.0;5.0;0.0;2720.0;116.0;1702.0;110.0;50.0;17.0;1067.0;169.0
Ecopoint Chantenay;2014;0.0;55.0;44.0;12.0;93.0;0.0;1.0;0.0;0.0;2.0;0.0;317.0;81.0;0.0;0.0;0.0;24.0;614.0;0.0
Déchèterie Saint Aignan;2015;293.0;104.0;58.0;23.0;6.0;0.0;0.0;0.0;0.0;8.0;0.0;1524.0;66.0;1286.0;0.0;4.0;1.0;942.0;144.0
Déchèterie Saint Herblain;2015;1022.0;332.0;135.0;69.0;123.0;0.0;0.0;0.0;0.0;13.0;0.0;3362.0;196.0;4027.0;0.0;32.0;7.0;3022.0;286.0
Déchèterie La Montagne;2016;335.68;101.16;39.02;20.64;0.0;0.0;0.0;0.0;0.0;7.2;0.0;1625.54;0.0;1558.66;0.0;0.0;0.0;908.22;111.82
Déchèterie Orvault;2016;937.2;376.44;111.98;53.31;185.61;0.0;0.0;0.44;0.0;10.44;0.0;4296.69;229.96;2740.2;0.0;87.83;50.38;3207.9;427.32
Déchèterie Saint Aignan;2016;341.54;101.98;47.5;22.02;48.89;0.0;0.0;0.0;0.0;7.74;0.0;1502.56;75.54;1192.68;0.0;6.1;1.1;936.64;166.24
Déchèterie Vertou;2016;636.74;277.48;107.46;27.15;206.0;0.0;0.7;0.12;0.0;7.92;0.0;3509.38;217.24;2741.24;217.76;60.86;55.14;1769.38;252.09
Ecopoint Chantenay;2016;0.0;64.86;41.9;6.28;89.49;0.0;1.07;0.13;0.0;3.86;0.0;264.48;84.84;0.0;0.0;0.0;29.47;500.36;0.0
Ecopoint Les Dervallières;2016;0.0;47.52;0.0;10.64;64.69;0.0;0.47;0.13;0.0;1.9;0.0;439.4;59.24;0.0;0.0;0.0;27.83;354.12;0.0
Déchèterie Nantes;2017;1567.53;324.86;23.5;60.56;281.32;1.52;4.14;0.97;2.84;5.76;18.36;2827.68;230.08;2592.36;0.0;31.62;74.37;1767.72;0.0
Déchèterie Orvault;2017;1091.58;444.02;91.35;54.5;183.45;0.0;0.0;0.5;0.0;9.54;0.0;4315.81;349.78;3079.04;0.0;116.15;72.05;3318.0;457.36
Ecopoint Auvours;2017;0.0;54.1;0.0;4.51;61.3;0.0;0.45;0.16;0.0;0.0;0.0;0.0;40.02;0.0;0.0;25.98;58.69;205.58;0.0
Ecopoint La Beaujoire;2017;0.0;53.38;0.0;5.73;62.85;0.0;0.69;0.14;0.0;2.25;0.0;368.0;61.86;0.0;0.0;0.0;24.15;304.94;0.0
Ecopoint Les Dervallières;2017;0.0;68.7;0.0;10.98;73.24;0.0;0.27;0.18;0.0;0.81;0.0;577.88;77.5;0.0;0.0;0.0;37.1;449.52;0.0
